sofifa_id,long_name,short_name,overall
192638,Marcos Alonso Mendoza,Marcos Alonso,81
192883,Henrikh Mkhitaryan,H. Mkhitaryan,81
194022,André Gomes Magalhaes de Almeida,André Almeida,81
203551,Alessandro  Florenzi,A. Florenzi,81
204399,Eran Zahavi,E. Zahavi,81
207471,Franco Vázquez,F. Vázquez,81
208618,Lucas Vázquez Iglesias,Lucas Vázquez,81
216194,Daniel García Carrillo,Dani García,81
224334,Marcos Javier Acuña,M. Acuña,81
230271,Laureano Thomas Santeiro Marre,Laure Santeiro,81
245299,Jaime Nicolás Frendado,J. Frendado,81
245304,Saúl Marcelo Ardero,S. Ardero,81
245305,Luis Roberto Dálves,L. Dálves,81
251700,Segundo Mandíquez,S. Mandíquez,81
242444,João Félix Sequeira,João Félix,80
224232,Nicolò Barella,N. Barella,80
225100,Joe Gomez,J. Gomez,80
213661,Andreas Christensen,A. Christensen,80
215698,Mike Maignan,M. Maignan,80
216393,Youri Tielemans,Y. Tielemans,80
229668,Mario Hermoso Canseco,Mario Hermoso,80
234153,Carlos Soler Barragán,Carlos Soler,80
220477,Mattia Caldara,M. Caldara,80
222400,Harry Winks,H. Winks,80
223113,Krzysztof Piątek,K. Piątek,80
224458,Diogo José Teixeira da Silva,Diogo Jota,80
226161,Marcos Llorente Moreno,Marcos Llorente,80
228618,Ferland Mendy,F. Mendy,80
236679,Óscar Melendo Jiménez,Melendo,80
239818,Rúben Alves Dias,Rúben Dias,80
241671,Dominik Livaković,D. Livaković,80
203747,Héctor Bellerín Moruno,Héctor Bellerín,80
204884,Benjamin Mendy,B. Mendy,80
211591,Moussa Dembélé,M. Dembélé,80
211990,Odisseas Vlachodimos,O. Vlachodimos,80
212623,Santiago Mina Lorenzo,Santi Mina,80
212692,Marcos Paulo Mesquita Lopes,Rony Lopes,80
215330,Joaquín Correa,J. Correa,80
219809,Tiémoué Bakayoko,T. Bakayoko,80
226168,Maximilian Eggestein,M. Eggestein,80
234035,Álvaro Odriozola Arzalluz,Odriozola,80
239207,Maximiliano Gómez,M. Gómez,80
202648,Sergi Darder Moll,Sergi Darder,80
204311,Kurt Happy Zouma,K. Zouma,80
207439,Leandro Paredes,L. Paredes,80
208920,Nathan Aké,N. Aké,80
210864,Elseid Hysaj,E. Hysaj,80
211575,André Filipe Tavares Gomes,André Gomes,80
215785,Keita Baldé,K. Baldé,80
222028,Julian Weigl,J. Weigl,80
223874,Valentin Rongier,V. Rongier,80
227950,Yeray Álvarez López,Yeray,80
242348,Lorenzo Morón García,Loren,80
193352,Ricardo Rodríguez,R. Rodríguez,80
198784,Alex Oxlade-Chamberlain,A. Oxlade-Chamberlain,80
199823,José Ángel Gómez Campaña,Campaña,80
201143,Aïssa Mandi,A. Mandi,80
202477,Gerard Deulofeu Lázaro,Deulofeu,80
205069,Juan Bernat Velasco,Bernat,80
205849,Esteban Andrada,E. Andrada,80
207599,Michael Keane,M. Keane,80
210513,Juan Fernando Quintero,J. Quintero,80
210617,Samuel Castillejo Azuaga,Samu Castillejo,80
215223,Walter Benítez,W. Benítez,80
220018,Ante Rebić,A. Rebić,80
225508,Eric Bailly,E. Bailly,80
230977,Miguel Almirón,M. Almirón,80
235374,Manuel Lazzari,M. Lazzari,80
188988,Manuel Lanzini,M. Lanzini,80
190778,Jeroen Zoet,J. Zoet,80
199005,Mathew Ryan,M. Ryan,80
199577,Sergi Gómez Solà,Sergi Gómez,80
200155,Hans Vanaken,H. Vanaken,80
201922,Martin Hinteregger,M. Hinteregger,80
205362,Matija Nastasić,M. Nastasić,80
208141,Gabriel Appelt Pires,Gabriel,80
196978,Callum Wilson,C. Wilson,80
198118,Josuha Guilavogui,J. Guilavogui,80
203483,Davy Klaassen,D. Klaassen,80
203605,Pavel Kadeřábek,P. Kadeřábek,80
204024,Christoph Kramer,C. Kramer,80
204525,Íñigo Martínez Berridi,Iñigo Martínez,80
205070,Cristian Portugués Manzanera,Portu,80
206545,Manuel Trigueros Muñoz,Manu Trigueros,80
208128,Hakan Çalhanoğlu,H. Çalhanoğlu,80
208498,Moanes Dabour,M. Dabbur,80
210665,Marcel Halstenberg,M. Halstenberg,80
219985,Matias Vecino,M. Vecino,80
220407,Martin Dúbravka,M. Dúbravka,80
227290,Marko Dmitrović,M. Dmitrović,80
45186,Joaquín Sánchez Rodríguez,Joaquín,80
54050,Wayne Mark Rooney,W. Rooney,80
110677,Miguel Ángel Moyá Rumbo,Moyá,80
139068,Luís Carlos Almeida da Cunha,Nani,80
142754,Javier Alejandro Mascherano,J. Mascherano,80
146748,Diego López Rodríguez,Diego López,80
148119,Igor Akinfeev,I. Akinfeev,80
153244,André-Pierre Gignac,A. Gignac,80
154472,Jorge Molina Vidal,Jorge Molina,80
158121,Benoît Costil,B. Costil,80
159147,Loïc Perrin,L. Perrin,80
163155,Ben Foster,B. Foster,80
163264,Tom Heaton,T. Heaton,80
163705,Steve Mandanda,S. Mandanda,80
164029,Charles Dias De Oliveira,Charles,80
165109,Ştefan Daniel Radu,S. Radu,80
169595,Danny Rose,D. Rose,80
170368,Erik Lamela,E. Lamela,80
171579,Raúl García Escudero,Raúl García,80
171919,Ronaldo  Aparecido Rodrigues,Naldo,80
172522,Daniel Wass,D. Wass,80
173373,Sergio Germán Romero,S. Romero,80
175379,Pedro León Sánchez Gil,Pedro León,80
176376,Ignacio Piatti,I. Piatti,80
176550,David Ospina Ramírez,D. Ospina,80
176930,Marcelo Alfonso Díaz Rojas,M. Díaz,80
177326,Mathieu Valbuena,M. Valbuena,80
177457,Lars Bender,L. Bender,80
177458,Sven Bender,S. Bender,80
178213,Etienne Capoue,E. Capoue,80
178424,Vitorino Gabriel  Pacheco Antunes,Antunes,80
179783,Ralf Fährmann,R. Fährmann,80
179847,Federico Julián Fazio,F. Fazio,80
181098,長谷 部誠,M. Hasebe,80
182002,Sidnei Rechel da Silva Júnior,Sidnei,80
183900,Diego Perotti,D. Perotti,80
184252,Lucas David Pratto,L. Pratto,80
184881,Sofiane Feghouli,S. Feghouli,80
186345,Kieran Trippier,K. Trippier,80
186547,Mateo Pablo Musacchio,M. Musacchio,80
187052,Yann Gérard M'Vila,Y. M'Vila,80
187072,Lars Stindl,L. Stindl,80
187491,Fyodor Smolov,F. Smolov,80
187936,Steven N'Kemboanza Mike Christopher Nzonzi,S. Nzonzi,80
189271,Francis Coquelin,F. Coquelin,80
189362,Givanildo Vieira de Souza,Hulk,80
189712,Kevin Strootman,K. Strootman,80
189881,Chris Smalling,C. Smalling,80
190547,Kamil Glik,K. Glik,80
190972,Eduardo Antonio Salvio,E. Salvio,80
192593,Danijel Subašić,D. Subašić,80
192641,Kevin Vogt,K. Vogt,80
193061,Roberto Pereyra,R. Pereyra,80
193738,Younès Belhanda,Y. Belhanda,80
194879,Sergio Enrich Ametller,Sergi Enrich,80
195086,Dejan Lovren,D. Lovren,80
196889,Simone Verdi,S. Verdi,80
199110,Luis Fernando Muriel Fruto,L. Muriel,80
199206,Domagoj Vida,D. Vida,80
199416,Ibai Gómez Pérez,Ibai Gómez,80
200260,Steven Berghuis,S. Berghuis,80
200315,Cristian Tello Herrera,Cristian Tello,80
201119,Ismaily Gonçalves dos S.,Ismaily,80
201454,Faouzi Ghoulam,F. Ghoulam,80
201956,Salif Sané,S. Sané,80
202685,Simone Zaza,S. Zaza,80
203890,Šime Vrsaljko,S. Vrsaljko,80
203895,Alejandro Pozuelo Melero,Pozuelo,80
204838,Raúl Alonso Jiménez Rodríguez,R. Jiménez,80
205525,Bernard  Anício Caldeira Duarte,Bernard,80
206413,Taras Stepanenko,T. Stepanenko,80
214584,Franco Armani,F. Armani,80
215057,Iván Marcone,I. Marcone,80
222943,Jonathan Rodríguez Menéndez,Jony,80
223578,Jaime Mata Arnaiz,Mata,80
227536,Moussa Marega,M. Marega,80
230234,Everton Jorge Andrade Zanon,Everton Andrão,80
230347,Welington Kauê Dano Nascimento,Welington Dano,80
245294,Jorge Ezequiel Serendero,J. Serendero,80
245300,Matías David Baldona,M. Baldona,80
245308,Mauro Evidio Nérez,M. Nérez,80
238794,Vinícius José de Oliveira Júnior,Vinícius Jr.,79
227535,Rodrigo Bentancur Colmán,R. Bentancur,79
233927,Lucas Tolentino Coelho de Lima,Lucas Paquetá,79
229880,Aaron Wan-Bissaka,A. Wan-Bissaka,79
231691,Alban Lafont,A. Lafont,79
237678,Ibrahima Konaté,I. Konaté,79
225193,Mikel Merino Zazón,Merino,79
228092,Sander Berge,S. Berge,79
228251,Lorenzo Pellegrini,L. Pellegrini,79
235805,Federico Chiesa,F. Chiesa,79
244260,Daniel Olmo Carvajal,Dani Olmo,79
213160,Roman Zobnin,R. Zobnin,79
